Sex,Age,Major,DV1_A_LHH_1,DV2_A_LLL_1,DV3_A_HHH_1,DV4_A_HHL_1,DV5_A_HLL_1,DV6_A_HLH_1,DV7_A_LHL_1,DV8_A_LLH_1,DV9_A_HLH_2,DV10_A_HHL_2,DV11_A_LHH_2,DV12_A_LHL_2,DV13_A_LLL_2,DV14_A_HHH_2,DV15_A_LLH_2,DV16_A_HLL_2,DV17_A_LHL_3,DV18_A_LHH_3,DV19_A_HHL_3,DV20_A_LLL_3,DV21_A_LLH_3,DV22_A_HLL_3,DV23_A_HHH_3,DV24_A_HLH_3,DV25_B_M_In_hang,DV26_B_F_In_Beob,DV27_B_M_In_Sym,DV28_B_F_Ja_To,DV29_B_M_Ja_Sang,DV30_B_F_Ja_Cheon,EXT,CON,OPN,STA,AGR
1,24,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,23,19,19,18,21
1,25,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,30,30,30,30,20
2,20,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,14,19,13,16,19
2,23,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,17,18,19,17,19
2,20,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,27,28,22,20,28
2,19,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,18,27,14,9,24
2,21,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,22,25,19,14,22
2,22,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,17,22,20,13,19
2,22,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,16,17,19,17,18
2,19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,20,24,20,18,15
2,21,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,26,23,17,23,21
2,20,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,24,20,21,15,21
2,23,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,13,23,23,15,21
2,21,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,12,15,20,13,24
